sign,landmarks,timestamp
A,"[0.7246001958847046, 0.4047471284866333, -1.9775194459725753e-07, 0.6908056139945984, 0.39963579177856445, -0.011172210797667503, 0.6480926871299744, 0.348307341337204, -0.014966539107263088, 0.6300816535949707, 0.3014911711215973, -0.019662702456116676, 0.6227250695228577, 0.2638397812843323, -0.02226579748094082, 0.6579585075378418, 0.29076889157295227, -0.0034754767548292875, 0.6395572423934937, 0.25615206360816956, -0.02528519555926323, 0.6391708254814148, 0.25664785504341125, -0.03364946320652962, 0.645750880241394, 0.24946188926696777, -0.03604836389422417, 0.6861847639083862, 0.2844966948032379, -0.008936922997236252, 0.6697028875350952, 0.24752964079380035, -0.0363072007894516, 0.6723178625106812, 0.2946031093597412, -0.03782423585653305, 0.6798338890075684, 0.30729788541793823, -0.02982211299240589, 0.7165018320083618, 0.2869059443473816, -0.018235690891742706, 0.7010018229484558, 0.26229196786880493, -0.04557183012366295, 0.7012300491333008, 0.31323209404945374, -0.0359668955206871, 0.7067840695381165, 0.32456737756729126, -0.02068476937711239, 0.7474907636642456, 0.29473838210105896, -0.0286625474691391, 0.7327690124511719, 0.27527961134910583, -0.04443885013461113, 0.7270333766937256, 0.31244874000549316, -0.03571920469403267, 0.7299119830131531, 0.32574960589408875, -0.02399899996817112]",2025-10-30T01:27:21.648495
A,"[0.6992194056510925, 0.4286760687828064, -4.42863694161133e-07, 0.6495404839515686, 0.4125567376613617, -0.007803661748766899, 0.6087434887886047, 0.361496239900589, -0.01132084522396326, 0.5944664478302002, 0.3130054175853729, -0.018236108124256134, 0.5935367345809937, 0.2767634987831116, -0.021734943613409996, 0.6084146499633789, 0.2922245264053345, 0.009063901379704475, 0.5853760242462158, 0.24018943309783936, -0.015990106388926506, 0.5884798765182495, 0.27205923199653625, -0.028268709778785706, 0.5972067713737488, 0.2966268062591553, -0.03156810626387596, 0.6373438239097595, 0.2807253897190094, 0.0017622997984290123, 0.6172009110450745, 0.245235413312912, -0.025444701313972473, 0.6228000521659851, 0.3032186031341553, -0.029544996097683907, 0.6327885389328003, 0.325424462556839, -0.02322232909500599, 0.6693758964538574, 0.27973201870918274, -0.010335716418921947, 0.651016116142273, 0.2629125416278839, -0.034695785492658615, 0.6568531394004822, 0.32123473286628723, -0.025467464700341225, 0.6660287380218506, 0.3373642563819885, -0.01111423596739769, 0.7030822038650513, 0.28653833270072937, -0.02382005751132965, 0.6839869618415833, 0.2794301211833954, -0.032795749604701996, 0.6828922033309937, 0.3209976255893707, -0.02123715914785862, 0.6899219751358032, 0.3314501643180847, -0.00845823809504509]",2025-10-30T01:27:22.653944
A,"[0.6742598414421082, 0.3862209618091583, 2.4493269634717763e-08, 0.6379233598709106, 0.3861294388771057, -0.009781516157090664, 0.5992832183837891, 0.3446493148803711, -0.01472169253975153, 0.5799938440322876, 0.3036077320575714, -0.02041078545153141, 0.5727924108505249, 0.2665616273880005, -0.026036670431494713, 0.606715977191925, 0.29562845826148987, -0.005979117937386036, 0.5857877731323242, 0.26065659523010254, -0.02185225673019886, 0.5801882743835449, 0.23726516962051392, -0.031130027025938034, 0.5834294557571411, 0.2213912159204483, -0.036094266921281815, 0.6325674057006836, 0.2781892716884613, -0.011012992821633816, 0.6121293902397156, 0.24111977219581604, -0.031983181834220886, 0.6099308729171753, 0.2666126489639282, -0.037503987550735474, 0.6153797507286072, 0.28831368684768677, -0.03469039872288704, 0.6625104546546936, 0.27286097407341003, -0.01805754192173481, 0.6389243006706238, 0.2531927227973938, -0.04003458842635155, 0.6407565474510193, 0.29164740443229675, -0.03538777679204941, 0.6493712663650513, 0.3145366907119751, -0.02516925148665905, 0.6934776306152344, 0.2776622474193573, -0.025707820430397987, 0.6714457869529724, 0.27430325746536255, -0.0419442243874073, 0.6710734367370605, 0.30429011583328247, -0.03665323555469513, 0.6800817847251892, 0.3219817280769348, -0.02760326862335205]",2025-10-30T01:27:23.657938
A,"[0.6413130760192871, 0.5208063125610352, 3.23473614116665e-07, 0.6094920635223389, 0.5031793713569641, -0.002700856188312173, 0.586028516292572, 0.46297335624694824, -0.012142818421125412, 0.5744351744651794, 0.42365846037864685, -0.02108568511903286, 0.5741551518440247, 0.3896225094795227, -0.03069400042295456, 0.5834376215934753, 0.46105995774269104, -0.03428996354341507, 0.5639187097549438, 0.4109455645084381, -0.05252247676253319, 0.5647199153900146, 0.3729841709136963, -0.061628829687833786, 0.5694316625595093, 0.34908169507980347, -0.0657171756029129, 0.6032066941261292, 0.4565153121948242, -0.041077956557273865, 0.5958302021026611, 0.3915664255619049, -0.05742267519235611, 0.6057888269424438, 0.3579210042953491, -0.060468558222055435, 0.6183382272720337, 0.3468391001224518, -0.06042054295539856, 0.6304110288619995, 0.4557889997959137, -0.046463772654533386, 0.628413736820221, 0.395505428314209, -0.05873353034257889, 0.6369922161102295, 0.367256760597229, -0.055752288550138474, 0.6467838883399963, 0.3577475845813751, -0.05212914198637009, 0.6589801907539368, 0.45887893438339233, -0.051397934556007385, 0.6580740809440613, 0.4153701066970825, -0.05921575427055359, 0.6609598994255066, 0.3932303786277771, -0.054990254342556, 0.6654579043388367, 0.3831365704536438, -0.05015474557876587]",2025-10-30T01:27:24.692254
A,"[0.6782783269882202, 0.5603315830230713, -5.518224384104542e-07, 0.6240692734718323, 0.5417131185531616, -0.009352174587547779, 0.5772621035575867, 0.4876333475112915, -0.012645539827644825, 0.5527795553207397, 0.4360770583152771, -0.0184208694845438, 0.5434035658836365, 0.3917715847492218, -0.0199443306773901, 0.5959205031394958, 0.4028748869895935, 0.008943848311901093, 0.5596747398376465, 0.3905145823955536, -0.01646282523870468, 0.5645472407341003, 0.43367093801498413, -0.028771281242370605, 0.5778576731681824, 0.45488765835762024, -0.032672539353370667, 0.6244722008705139, 0.3940443694591522, 0.0032679131254553795, 0.5926065444946289, 0.40714192390441895, -0.022467153146862984, 0.5996002554893494, 0.46067044138908386, -0.02566463127732277, 0.6124886274337769, 0.4715179204940796, -0.02072625793516636, 0.6542256474494934, 0.3997582793235779, -0.007757232524454594, 0.6233658194541931, 0.4333881437778473, -0.03157434239983559, 0.6312965154647827, 0.4819464385509491, -0.02354937605559826, 0.6442803144454956, 0.48505866527557373, -0.011648335494101048, 0.6837599277496338, 0.41437238454818726, -0.02067185565829277, 0.6537854671478271, 0.44922223687171936, -0.03200680762529373, 0.6576840281486511, 0.4838962256908417, -0.025573449209332466, 0.6703630089759827, 0.4837869703769684, -0.016697585582733154]",2025-10-30T01:27:25.694896
A,"[0.5906522274017334, 0.5856106877326965, -2.9921397981524933e-07, 0.6307586431503296, 0.5389734506607056, -0.004647593479603529, 0.6512404084205627, 0.4628102481365204, -0.004695078823715448, 0.6614107489585876, 0.40432360768318176, -0.007648885250091553, 0.6627993583679199, 0.3568298816680908, -0.0076235453598201275, 0.6342915892601013, 0.4112282693386078, 0.006120236590504646, 0.6403967142105103, 0.36231720447540283, -0.011030375957489014, 0.6459599733352661, 0.4114488661289215, -0.019327262416481972, 0.6421667337417603, 0.4349541962146759, -0.021901153028011322, 0.6071364879608154, 0.41696998476982117, 4.467866529012099e-05, 0.6141589283943176, 0.37342149019241333, -0.015683678910136223, 0.6235666871070862, 0.4272541403770447, -0.018335914239287376, 0.6183022260665894, 0.44566810131073, -0.016543367877602577, 0.5785078406333923, 0.4311874210834503, -0.009076755493879318, 0.5842344164848328, 0.3876149356365204, -0.026645297184586525, 0.5980288982391357, 0.43730857968330383, -0.018323948606848717, 0.5956197381019592, 0.4574326276779175, -0.008166791871190071, 0.5482058525085449, 0.45079395174980164, -0.018721695989370346, 0.5561289191246033, 0.4107639193534851, -0.02878868207335472, 0.5716403722763062, 0.4420698583126068, -0.018497474491596222, 0.5723442435264587, 0.46218639612197876, -0.007637446746230125]",2025-10-30T01:27:26.719659
A,"[0.5539993643760681, 0.634963870048523, -2.798257128233672e-07, 0.600362241268158, 0.5964729189872742, -0.015378056094050407, 0.624620258808136, 0.5163493156433105, -0.01737809367477894, 0.6335687041282654, 0.459370881319046, -0.019457777962088585, 0.630033016204834, 0.41421079635620117, -0.017754893749952316, 0.5928433537483215, 0.46175262331962585, -0.0020838205236941576, 0.6051722764968872, 0.42505112290382385, -0.023451294749975204, 0.6062054634094238, 0.4750664234161377, -0.0318734310567379, 0.5988579392433167, 0.49372878670692444, -0.03471021726727486, 0.562091588973999, 0.47053059935569763, -0.004443618934601545, 0.5727879405021667, 0.43711426854133606, -0.029125507920980453, 0.5795262455940247, 0.49628937244415283, -0.03356962651014328, 0.5733548998832703, 0.5097663402557373, -0.030513044446706772, 0.5334231853485107, 0.4911852180957794, -0.011143053881824017, 0.5451182126998901, 0.4703243672847748, -0.03872115910053253, 0.5587292909622192, 0.5233020186424255, -0.03274362534284592, 0.5556401014328003, 0.5327986478805542, -0.021774398162961006, 0.507961630821228, 0.5176437497138977, -0.018857622519135475, 0.5200412273406982, 0.49784210324287415, -0.03596464917063713, 0.5355511903762817, 0.5331519842147827, -0.028636537492275238, 0.5356507897377014, 0.5441703796386719, -0.01885935105383396]",2025-10-30T01:27:27.752385
A,"[0.5545176267623901, 0.6475453972816467, -2.9735682005593844e-07, 0.600223183631897, 0.6068572998046875, -0.016076568514108658, 0.6206380724906921, 0.5279911756515503, -0.019231773912906647, 0.6251810193061829, 0.46574312448501587, -0.02252062037587166, 0.6193135380744934, 0.41811537742614746, -0.02247578650712967, 0.5896856188774109, 0.4739416539669037, -0.004378703888505697, 0.6042952537536621, 0.43502622842788696, -0.02678459696471691, 0.6072006225585938, 0.4852760434150696, -0.03664629906415939, 0.6014798879623413, 0.508765697479248, -0.04018054157495499, 0.5604202747344971, 0.482782244682312, -0.00620003417134285, 0.575184166431427, 0.453271746635437, -0.03055044822394848, 0.581926167011261, 0.5100578665733337, -0.03581220284104347, 0.5762079358100891, 0.5287513136863708, -0.033729925751686096, 0.5333372950553894, 0.5037731528282166, -0.012295002117753029, 0.5488319396972656, 0.4862818121910095, -0.03896908834576607, 0.5614227056503296, 0.5366778373718262, -0.03435851261019707, 0.5586426854133606, 0.5518724918365479, -0.024690750986337662, 0.5091634392738342, 0.5317074656486511, -0.019553594291210175, 0.5243251323699951, 0.5192040205001831, -0.03698194772005081, 0.539391040802002, 0.5536081194877625, -0.03155559301376343, 0.5404276251792908, 0.567396879196167, -0.023045262321829796]",2025-10-30T01:27:28.763868
A,"[0.5884599089622498, 0.6498122215270996, -2.56543359000716e-07, 0.6268276572227478, 0.6104417443275452, -0.010335915721952915, 0.6501674652099609, 0.5360774397850037, -0.012399669736623764, 0.6589943766593933, 0.477153480052948, -0.015909751877188683, 0.6551290154457092, 0.43097665905952454, -0.017092233523726463, 0.6235535144805908, 0.4818587303161621, 4.5255423174239695e-05, 0.6341139674186707, 0.44148290157318115, -0.019935788586735725, 0.6373087167739868, 0.48466411232948303, -0.02906148135662079, 0.6315488219261169, 0.5020741820335388, -0.03196558356285095, 0.5947009325027466, 0.4924619793891907, -0.0039440942928195, 0.605333685874939, 0.45703643560409546, -0.02359558641910553, 0.6127055883407593, 0.5109677314758301, -0.027083666995167732, 0.6070137619972229, 0.5268679261207581, -0.024911263957619667, 0.5659074783325195, 0.5115377902984619, -0.011506261304020882, 0.5782232880592346, 0.4851376414299011, -0.0352218821644783, 0.5892173051834106, 0.5361614227294922, -0.028880419209599495, 0.5847869515419006, 0.5526806712150574, -0.018733182922005653, 0.5363787412643433, 0.536692202091217, -0.019568774849176407, 0.5469298362731934, 0.5113669037818909, -0.03388985991477966, 0.562068521976471, 0.5464656949043274, -0.025352200493216515, 0.5630869269371033, 0.5645443201065063, -0.015158317983150482]",2025-10-30T01:27:29.775891
A,"[0.704211950302124, 0.6381840705871582, -3.306696214622207e-07, 0.7611566185951233, 0.5770872235298157, -0.01639614813029766, 0.7971770763397217, 0.47327083349227905, -0.021540382876992226, 0.8107079267501831, 0.39319831132888794, -0.02747602015733719, 0.8105111718177795, 0.3348425626754761, -0.029689034447073936, 0.747636079788208, 0.40207651257514954, -0.006406556814908981, 0.7672324180603027, 0.3576032519340515, -0.03270503133535385, 0.7754898071289062, 0.4180697798728943, -0.0461510494351387, 0.7661662101745605, 0.43835610151290894, -0.05253119766712189, 0.7084318399429321, 0.4166603982448578, -0.010679056867957115, 0.7342446446418762, 0.382498562335968, -0.035353150218725204, 0.7460935115814209, 0.45056232810020447, -0.040669310837984085, 0.732628583908081, 0.4653249680995941, -0.04041266068816185, 0.6721181273460388, 0.44521987438201904, -0.019585508853197098, 0.6994684338569641, 0.4231569766998291, -0.047043971717357635, 0.7159395813941956, 0.48053261637687683, -0.03959564492106438, 0.7045406103134155, 0.4942711293697357, -0.02952837385237217, 0.6371358036994934, 0.48346686363220215, -0.029714003205299377, 0.6647467017173767, 0.462310254573822, -0.04555521905422211, 0.6848525404930115, 0.5005272626876831, -0.035562317818403244, 0.6801595091819763, 0.5168647170066833, -0.024692539125680923]",2025-10-30T01:27:30.822148
